Source,Target
Job,BLAdd22283
Job,BlCottCalAII
Job,BLSl2593
Job,PULGar143
instruction,BodAsh343IX
instruction,BodEngPoeta1
instruction,CamTCC1450
instruction,BLAdd22283
instruction,BlCottCalAII
instruction,BLSl2593
instruction,PULGar143
advice,BodAsh343IX
advice,BodEngPoeta1
advice,CamTCC1450
advice,BLAdd22283
advice,BlCottCalAII
advice,BLSl2593
advice,PULGar143
advice,BLAdd29729
advice,BLHar2251
precepts,BLAdd29729
precepts,BLHar2251
moderation,BLAdd29729
moderation,BLHar2251
advice,Bod410
advice,BodLauMis213
advice,BodLauMis111
advice,BodRawC670
advice,CamGon71
advice,CamStJohn159
advice,EDU82
advice,Lincoln44
advice,Lincoln234
advice,Spalding
advice,WorcF19
advice,VaticanOtto
sermons,Bod410
sermons,BodLauMis213
sermons,BodLauMis111
sermons,BodRawC670
sermons,CamGon71
sermons,CamStJohn159
sermons,EDU82
sermons,Lincoln44
sermons,Lincoln234
sermons,Spalding
sermons,WorcF19
sermons,VaticanOtto
proverbs,Bod410
proverbs,BodLauMis213
proverbs,BodLauMis111
proverbs,BodRawC670
proverbs,CamGon71
proverbs,CamStJohn159
proverbs,EDU82
proverbs,Lincoln44
proverbs,Lincoln234
proverbs,Spalding
proverbs,WorcF19
proverbs,VaticanOtto
advice,HunHM140
apprentices,HunHM140
sermons,BodLatTheD1
Christ,BodLatTheD1
advice,BodLatTheD1
tongue,Bod686
tongue,CULFf16
tongue,CamTCC600
tongue,BLAdd29729
tongue,BLHar2251
tongue,HunEL26A13
tongue,RomeEC1306
advice,Bod686
advice,CULFf16
advice,CamTCC600
advice,BLAdd29729
advice,BLHar2251
advice,HunEL26A13
advice,RomeEC1306
debates,BodAsh50
debates,BodAsh754
debates,BodLauMis598
debates,BodRawC48
debates,BodRawC86
debates,CULHh412
debates,BLAdd34360
debates,BLHar2251
debates,BLLan699
debates,Lam306
debates,HunHM144
debates,Leiden
fables,BodAsh50
fables,BodAsh754
fables,BodLauMis598
fables,BodRawC48
fables,BodRawC86
fables,CULHh412
fables,BLAdd34360
fables,BLHar2251
fables,BLLan699
fables,Lam306
fables,HunHM144
fables,Leiden
advice,BodAsh50
advice,BodAsh754
advice,BodLauMis598
advice,BodRawC48
advice,BodRawC86
advice,CULHh412
advice,BLAdd34360
advice,BLHar2251
advice,BLLan699
advice,Lam306
advice,HunHM144
advice,Leiden
envoys,BodAsh50
envoys,BodAsh754
envoys,BodLauMis598
envoys,BodRawC48
envoys,BodRawC86
envoys,CULHh412
envoys,BLAdd34360
envoys,BLHar2251
envoys,BLLan699
envoys,Lam306
envoys,HunHM144
envoys,Leiden
advice,CULAdd5943
songs,CULAdd5943
proverbs,OxfBal354
advice,OxfBal354
advice,BodRawC86
advice,CULIi326
advice,BLAdd31922
advice,BLHar1587
proverbs,BodRawC86
proverbs,CULIi326
proverbs,BLAdd31922
proverbs,BLHar1587
advice,CULIi38
sermons,CULIi38
hell,BLAdd60577
advice,BLAdd60577
advice,OxfBal354
advice,Lam259
advice,CamCCC31
birds,Banna
tales,Banna
advice,Banna
advice,BodTan407
instruction,BodTan407
proverbs,BLRoy18Dii
advice,BLRoy18Dii
advice,CULDd454
advice,BodDig102
money,BodAsh59
money,BLAdd29729
