Source,Target,Label,Weight
Flemish insurrection,Philip VI,DIMEV 6428,1
Flodden Feilde,Flodden Field,DIMEV 3779,1
Flodden Feilde,Stanley,DIMEV 3779,1
Flodden Feilde,historical poems,DIMEV 3779,1
Flodden Field,Brampton,DIMEV 4040,1
Flodden Field,Scotland,DIMEV 4045,1
Flodden Field,Stanley,DIMEV 3779,1
Flodden Field,historical poems,DIMEV 3779;DIMEV 4045;DIMEV 4040,3
Fortune,Cupid,DIMEV 6152,1
Fortune,Dunbar (Scotland),DIMEV 4243,1
Fortune,Paston,DIMEV 903,1
Fortune,adversity,DIMEV 4243,1
Fortune,advice to princes,DIMEV 5803;DIMEV 1904,2
Fortune,commemorative verse,DIMEV 3607,1
Fortune,complaints,DIMEV 1432;DIMEV 4072;DIMEV 3900;DIMEV 4071;DIMEV 3895;DIMEV 4934;DIMEV 121,7
Fortune,dialogues,DIMEV 5803,1
Fortune,dreams,DIMEV 1620,1
Fortune,envoys,DIMEV 5793;DIMEV 3895;DIMEV 5803;DIMEV 3900,4
Fortune,evils of the time,DIMEV 3295,1
Fortune,illustrations,DIMEV 5367;DIMEV 402,2
Fortune,love,DIMEV 4934,1
Fortune,love lyrics,DIMEV 3905,1
Fortune,lovers,DIMEV 4884;DIMEV 3607;DIMEV 4934,3
Fortune,lover’s lament,DIMEV 4934,1
Fortune,mutability,DIMEV 5803;DIMEV 6510;DIMEV 6845;DIMEV 903;DIMEV 345;DIMEV 1398;DIMEV 2196,7
Fortune,roundels,DIMEV 6309,1
Fortune,sermons,DIMEV 5367;DIMEV 345,2
Fortune,songs,DIMEV 1434;DIMEV 4934,2
Fortune,speech,DIMEV 1620,1
Fortune,steadfastness,DIMEV 2469,1
Fortune,tragedy,DIMEV 2316,1
Fortune,transitoriness,DIMEV 6510;DIMEV 6845;DIMEV 6308,3
Fortune,translations,DIMEV 345,1
Fortune,vanity,DIMEV 4082,1
Fortune,virtues,DIMEV 3149,1
Fortune,warnings,DIMEV 5782,1
Fortune,wealth,DIMEV 6182,1
Fortune,women,DIMEV 5793;DIMEV 3693,2
France,Agincourt,DIMEV 5456,1
France,Henry V,DIMEV 1591,1
France,historical poems,DIMEV 1591;DIMEV 5453;DIMEV 6066,3
France,historical verse,DIMEV 532,1
France,kings of France,DIMEV 5370,1
France,occasional verse,DIMEV 532,1
Francis of Assisi,dream visions,DIMEV 5737,1
Francis of Assisi,hymns,DIMEV 2597,1
Francis of Assisi,prayers,DIMEV 63;DIMEV 1718,2
Francis of Assisi,saints’ lives,DIMEV 5517,1
Fronton,saints’ lives,DIMEV 3410,1
Garter,carols,DIMEV 4007,1
Garter,occasional verse,DIMEV 4007,1
Garter,political poems,DIMEV 4007,1
George,Barbara,DIMEV 863,1
George,Christine,DIMEV 863,1
George,Ethelbert,DIMEV 3540,1
George,Giles,DIMEV 863,1
George,Henry VIII,DIMEV 1579,1
George,Katherine of Alexandria,DIMEV 863,1
George,Margaret,DIMEV 863,1
George,Martha,DIMEV 863,1
George,Virgin Mary,DIMEV 3540,1
George,Willoughby family,DIMEV 3935,1
George,introductions,DIMEV 4204,1
George,prayers,DIMEV 1579,1
George,saints’ lives,DIMEV 6857,1
Giles,Barbara,DIMEV 863,1
Giles,Christine,DIMEV 863,1
Giles,Katherine of Alexandria,DIMEV 863,1
Giles,Margaret,DIMEV 863,1
Giles,Martha,DIMEV 863,1
Giles,envoys,DIMEV 4129,1
Giles,saints’ lives,DIMEV 4129,1
Gloria mundi est,transitoriness,DIMEV 567,1
God,Cornysshe,DIMEV 4381,1
God,Nature,DIMEV 4381,1
God,Virgin Mary,DIMEV 3970,1
God,carols,DIMEV 1368,1
God,dialogues,DIMEV 5707,1
God,love,DIMEV 6069,1
God,mercy,DIMEV 1122;DIMEV 2340,2
God,scripture,DIMEV 2340,1
God,sermons,DIMEV 6069,1
God,translations,DIMEV 1233;DIMEV 1640,2
Godric,Nicholas,DIMEV 4734,1
Godric,prayers,DIMEV 4734;DIMEV 980,2
Godric,songs,DIMEV 980,1
Gregory,Alexander,DIMEV 479,1
Gregory,Jews,DIMEV 479,1
Gregory,Trajan,DIMEV 479,1
